point,precise_bpp,mAP,decoding_time,conv_part2_time
det_1_lambda0.256,0.009362014431454981,56.96466057975784,7.174151300668717,0.827916220998764
det_2_lambda0.512,0.016160536437352088,69.97749510494627,7.764819740962982,0.8415579322338105
det_3_lambda1,0.0269723363832469,74.75682900292783,8.923120481443405,0.8408416792869567
det_4_lambda2,0.04127771959649613,77.52834649158402,7.118141488742828,0.8278894812107086
det_5_lambda4,0.08242857318394646,79.06805406821704,7.681310008335114,0.8518168298244476
det_6_lambda16,0.17180254579078982,79.23291427054599,8.813871557760239,0.8554232305049896
